,critics,date,rating,rating1,rating_count,subtext,tconst,time,title,user
116,151 critic,"19 December 1980 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.3/10 ","234,228","
R
| 
                        2h 9min
                    
|
Biography, 
Drama, 
Sport
|
19 December 1980 (USA)

 ",tt0081398,"
                        2h 9min
                    ",Raging Bull (1980) ,490 user
117,192 critic,"8 April 2005 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.3/10 ","247,402","
R
| 
                        2h 36min
                    
|
Biography, 
Drama, 
History
|
8 April 2005 (USA)

 ",tt0363163,"
                        2h 36min
                    ",Downfall (2004) ,562 user
118,233 critic,"20 July 1988 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","590,121","
R
| 
                        2h 11min
                    
|
Action, 
Thriller
|
20 July 1988 (USA)

 ",tt0095016,"
                        2h 11min
                    ",Die Hard (1988) ,717 user
119,536 critic,"19 June 2015 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.3/10 ","339,607","
PG
| 
                        1h 35min
                    
|
Animation, 
Adventure, 
Comedy
|
19 June 2015 (USA)

 ",tt2096673,"
                        1h 35min
                    ",Inside Out (2015) ,767 user
120,111 critic,"4 July 1963 (USA)

","[<meta content=""APPROVED"" itemprop=""contentRating""/>]","
8.3/10 ","164,935","
Approved
| 
                        2h 52min
                    
|
Adventure, 
Drama, 
History
|
4 July 1963 (USA)

 ",tt0057115,"
                        2h 52min
                    ",The Great Escape (1963) ,298 user
121,223 critic,"20 June 1974 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","215,351","
R
| 
                        2h 10min
                    
|
Drama, 
Mystery, 
Thriller
|
20 June 1974 (USA)

 ",tt0071315,"
                        2h 10min
                    ",Chinatown (1974) ,460 user
122,165 critic,"15 December 1995 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","429,652","
R
| 
                        2h 50min
                    
|
Action, 
Crime, 
Drama
|
15 December 1995 (USA)

 ",tt0113277,"
                        2h 50min
                    ",Heat (1995) ,882 user
123,415 critic,"22 January 2016 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.3/10 ","155,908","
R
| 
                        1h 58min
                    
|
Drama
|
22 January 2016 (USA)

 ",tt3170832,"
                        1h 58min
                    ",Room (2015) ,351 user
124,406 critic,"19 January 2007 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","465,425","
R
| 
                        1h 58min
                    
|
Drama, 
Fantasy, 
War
|
19 January 2007 (USA)

 ",tt0457430,"
                        1h 58min
                    ",Pan's Labyrinth (2006) ,"1,083 user"
125,134 critic,"6 August 1954 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.2/10 ","100,350","
Not Rated
| 
                        1h 48min
                    
|
Crime, 
Drama, 
Romance
|
6 August 1954 (USA)

 ",tt0047296,"
                        1h 48min
                    ",On the Waterfront (1954) ,280 user
126,142 critic,"16 April 1988 (Japan)

","[<meta content=""G"" itemprop=""contentRating""/>]","
8.3/10 ","171,186","
G
| 
                        1h 26min
                    
|
Animation, 
Family, 
Fantasy
|
16 April 1988 (Japan)

 ",tt0096283,"
                        1h 26min
                    ",My Neighbor Totoro (1988) ,305 user
127,110 critic,"25 March 1956 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","42,032","
Not Rated
| 
                        2h 23min
                    
|
Drama
|
25 March 1956 (USA)

 ",tt0044741,"
                        2h 23min
                    ",Ikiru (1952) ,155 user
128,145 critic,"1 June 1985 (Japan)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.3/10 ","77,419","
R
| 
                        2h 42min
                    
|
Action, 
Drama
|
1 June 1985 (Japan)

 ",tt0089881,"
                        2h 42min
                    ",Ran (1985) ,237 user
129,101 critic,"1925 (Germany)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","67,479","
Not Rated
| 
                        1h 35min
                    
|
Adventure, 
Comedy, 
Drama
|
1925 (Germany)

 ",tt0015864,"
                        1h 35min
                    ",The Gold Rush (1925) ,148 user
130,96 critic,"19 October 1939 (USA)

","[<meta content=""NOT RATED"" itemprop=""contentRating""/>]","
8.3/10 ","77,083","
Not Rated
| 
                        2h 9min
                    
|
Comedy, 
Drama
|
19 October 1939 (USA)

 ",tt0031679,"
                        2h 9min
                    ",Mr. Smith Goes to Washington (1939) ,245 user
131,122 critic,"14 December 1957 (USA)

","[<meta content=""PG"" itemprop=""contentRating""/>]","
8.2/10 ","148,734","
PG
| 
                        2h 41min
                    
|
Adventure, 
Drama, 
War
|
14 December 1957 (USA)

 ",tt0050212,"
                        2h 41min
                    ",The Bridge on the River Kwai (1957) ,271 user
132,261 critic,"21 May 2010 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","131,012","
R
| 
                        2h 9min
                    
|
Drama, 
Mystery, 
Thriller
|
21 May 2010 (USA)

 ",tt1305806,"
                        2h 9min
                    ",The Secret in Their Eyes (2009) ,231 user
133,302 critic,"25 June 1982 (USA)

","[<meta content=""R"" itemprop=""contentRating""/>]","
8.2/10 ","459,844","
R
| 
                        1h 57min
                    
|
Sci-Fi, 
Thriller
|
25 June 1982 (USA)

 ",tt0083658,"
                        1h 57min
                    ",Blade Runner (1982) ,"1,169 user"
